번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트,,
312,311390,네오크레마,31007,기타 식품 제조업,"7,256,000","3,628,000,000",500,원(KRW),02-401-4088,"서울특별시 송파구 중대로 211(가락동, 나은빌딩)",2318,,
313,85910,네오티스,33003,자동차 신품 부품 제조업,"11,013,678","5,506,839,000",500,원(KRW),031-671-0170,경기도 안성시  죽산면 용대길 38-9,2318,,
314,92730,네오팜,32004,기타 화학제품 제조업,"8,207,361","4,103,680,500",500,원(KRW),042-864-0038,대전 유성구 탑립동 928번지,2318,,
315,290660,네오펙트,32701,의료용 기기 제조업,"11,931,045","5,965,522,500",500,원(KRW),031-889-8521,경기도 성남시 수정구 창업로 42 판교제2테크노밸리 경기기업성장센터 801호,2318,,
316,153460,네이블커뮤니케이션즈,105802,소프트웨어 개발 및 공급업,"6,530,014","3,265,007,000",500,원(KRW),070-7780-9910,"서울특별시 강남구 학동로 401 8층(청담동, 금하빌딩)",2318,,
317,7390,네이처셀,32101,기초 의약물질 및 생물학적 제제 제조업,"61,190,399","30,595,199,500",500,원(KRW),02-545-4137,서울특별시 영등포구 국회대로76길 10 5층,2318,,
318,86220,네추럴FNP,31007,기타 식품 제조업,"10,573,865","5,286,932,500",500,원(KRW),043-211-1056,충청북도 청원군 오창읍 양청송대길 39(송대리),2318,,
319,33640,네패스,32601,반도체 제조업,"23,059,202","11,629,601,000",500,원(KRW),02-3470-2700,충청북도 음성군 삼성면 금일로965번길 105,2318,,
320,5720,넥센,32201,고무제품 제조업,"53,543,977","28,572,288,500",500,원(KRW),055-333-0771,경상남도 김해시  김해대로 2595,2318,,
321,2350,넥센타이어,32201,고무제품 제조업,"97,667,877","54,083,938,500",500,원(KRW),055-370-5114,경상남도 양산시  충렬로 355 넥센타이어,2318,,
322,89140,넥스턴,32301,유리 및 유리제품 제조업,"11,846,520","5,923,260,000",500,원(KRW),031-288-2088,경기도 용인시 기흥구 기흥단지로121번길 35 (고매동),2318,,
323,65170,넥스트BT,74603,음·식료품 및 담배 도매업,"61,906,025","30,953,012,500",500,원(KRW),02-3401-4490,충청북도 음성군 삼성면 대양로 193-12,2318,,
324,3580,넥스트사이언스,20702,기타 비금속광물 광업,"27,025,934","13,512,967,000",500,원(KRW),02-6925-4450,강원도 정선군  사북읍 동탄길 32,2318,,
325,137940,넥스트아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","77,116,173","7,927,357,300",100,원(KRW),031-478-2700,경기도 안양시 동안구 동편로 13번길65 넥스트아이빌딩,2318,,
326,41140,넥슨지티,105802,소프트웨어 개발 및 공급업,"35,373,322","17,686,661,000",500,원(KRW),02-525-6603,"경기도 성남시 분당구 판교로 256번길 25 (삼평동, 판교테크노밸리 씨3-7비동)",2318,,
327,217270,넵튠,105802,소프트웨어 개발 및 공급업,"23,370,146","11,685,073,000",500,원(KRW),031-698-3498,"경기도 성남시 분당구 성남대로331번길 8 601호(정자동, 킨스타워)",2318,,
328,225570,넷게임즈,105802,소프트웨어 개발 및 공급업,"24,032,832","12,016,416,000",500,원(KRW),02-750-5644,"서울특별시 강남구 남부순환로 2621 5층~7층(도곡동, 서브원강남빌딩)",2318,,
329,251270,넷마블,105802,소프트웨어 개발 및 공급업,"85,741,616","8,574,161,600",100,원(KRW),02-2271-7114,"서울특별시 구로구 디지털로 300 (구로동, 지밸리비즈플라자)",2318,,
330,104620,노랑풍선,147502,여행사 및 기타 여행보조 서비스업,"4,765,650","2,382,825,000",500,원(KRW),02-1544-2288,"서울특별시 중구 수표로 31 (저동2가, 노랑풍선빌딩)",2318,,
331,90350,노루페인트,32004,기타 화학제품 제조업,"20,000,000","10,231,563,000",500,원(KRW),031-467-6114,경기도 안양시 만안구  박달로 351,2318,,
332,320,노루홀딩스,116409,기타 금융업,"13,291,151","8,500,200,500",500,원(KRW),02-2191-7700,경기도 안양시 만안구  박달로 351,2318,,
333,194700,노바렉스,31007,기타 식품 제조업,"9,003,740","4,501,870,000",500,원(KRW),02-587-0019,충청북도 청주시 청원구 오창읍 각리1길 94 &nbsp,2318,,
334,285490,노바텍,33309,그외 기타 제품 제조업,"4,991,804","2,495,902,000",500,원(KRW),031-627-5290,"경기도 용인시 기흥구 흥덕중앙로 120, 511호, 1101호,1111호,1112호,1113호(영덕동, 유타워)",2318,,
335,229500,노브메타파마,137001,자연과학 및 공학 연구개발업,"8,962,867","4,481,433,500",500,원(KRW),02-538-1893,"서울특별시 강남구 언주로 727 13층 (논현동, 트리스빌딩)",2318,,
336,6280,녹십자,32102,의약품 제조업,"11,686,538","58,432,690,000","5,000",원(KRW),031-260-9312,경기도 용인시 기흥구  이현로30번길 107(보정동),2318,,
337,144510,녹십자랩셀,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,554,054","5,277,027,000",500,원(KRW),031-260-9300,경기도 용인시 기흥구 이현로30번길 107 &nbsp,2318,,
338,31390,녹십자셀,32101,기초 의약물질 및 생물학적 제제 제조업,"11,965,768","5,982,884,000",500,원(KRW),02-2101-0635,경기도 용인시 기흥구 이현로30번길 107 GC녹십자셀센터,2318,,
339,142280,녹십자엠에스,32103,의료용품 및 기타 의약 관련제품 제조업,"9,617,283","4,808,641,500",500,원(KRW),031-260-9300,경기도 용인시 기흥구 이현로30번길 107 &nbsp,2318,,
340,234690,녹십자웰빙,32102,의약품 제조업,"17,752,276","8,876,138,000",500,원(KRW),031-629-8600,"경기도 성남시 분당구 황새울로 246, 비동 7층(수내동, 도담빌딩)",2318,,
341,5250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"47,028,210","25,744,900,000",500,원(KRW),031-260-9300,경기 용인시 구성읍 동백리 (주)녹십자 303,2318,,
342,65560,녹원씨엔아이,31801,인쇄 및 인쇄관련 산업,"15,527,195","7,854,177,000",500,원(KRW),02-2025-6500,경기도 파주시 신촌2로 7-12 -,2318,,
343,4370,농심,31007,기타 식품 제조업,"6,082,642","30,413,210,000","5,000",원(KRW),02-820-7114,서울특별시 동작구  여의대방로 112,2318,,
344,72710,농심홀딩스,116409,기타 금융업,"4,637,790","23,188,950,000","5,000",원(KRW),02-820-7820,서울특별시 동작구  여의대방로 112 (신대방동),2318,,
345,54050,농우바이오,10101,작물 재배업,"16,030,561","8,015,280,500",500,원(KRW),031-213-4321,경기도 수원시 영통구 센트럴타운로 114-8(이의동)농우바이오,2318,,
346,40160,누리텔레콤,105802,소프트웨어 개발 및 공급업,"12,055,535","6,027,767,500",500,원(KRW),02-781-0700,서울특별시 서초구 사평대로 16(방배동 750-14번지),2318,,
347,69140,누리플랜,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업","5,469,035","2,734,517,500",500,원(KRW),031-997-9097,경기도 김포시  대곶면 대곶로202번길 191,2318,,
348,126870,뉴로스,32901,일반 목적용 기계 제조업,"22,661,448","11,330,724,000",500,원(KRW),042-865-7300,대전광역시 유성구 테크노2로 274 (탑립동),2318,,
349,60260,뉴보텍,32202,플라스틱제품 제조업,"28,738,918","14,369,459,000",500,원(KRW),033-734-6001,강원도 원주시  태장공단길 42-6 뉴보텍(주),2318,,
350,12340,뉴인텍,32602,전자부품 제조업,"18,044,502","9,022,251,000",500,원(KRW),041 -541 -8100,충청남도 아산시 음봉면 음봉면로 243,2318,,
351,214870,뉴지랩,32604,통신 및 방송 장비 제조업,"24,780,651","12,390,325,500",500,원(KRW),032-683-7903,경기도 부천시 오정구 신흥로362번길 23 (내동),2318,,
352,270870,뉴트리,31007,기타 식품 제조업,"9,032,224","4,516,112,000",500,원(KRW),031-776-3494,"경기도 성남시 중원구 사기막골로 124 테크동 1109호 (상대원동, SKn테크노파크)",2318,,
353,144960,뉴파워프라즈마,32902,특수 목적용 기계 제조업,"8,250,337","4,125,168,500",500,원(KRW),031-612-7600,경기도 수원시 영통구 신원로 176 (신동),2318,,
354,900100,뉴프라이드,74502,자동차 부품 및 내장품 판매업,"98,194,407","294,583",0.003,미국달러(USD),1-310-631-7000,"1511 E. Orangethorpe Avenue, Suite D , Fullerton, CA 92831 -",2318,,
355,85670,뉴프렉스,32602,전자부품 제조업,"21,156,039","10,578,019,500",500,원(KRW),031-494-9325,경기 안산시 단원구 신길동 1055603-4호,2318,,
356,119860,다나와,105802,소프트웨어 개발 및 공급업,"13,074,822","6,537,411,000",500,원(KRW),1688-2450,서울특별시 양천구  목동동로 233-1 501호,2318,,
357,64260,다날,105802,소프트웨어 개발 및 공급업,"61,763,715","30,881,857,500",500,원(KRW),031-697-1004,"경기도 성남시 분당구 분당로 55, 9층(서현동, 분당퍼스트타워)",2318,,
358,93640,다믈멀티미디어,32601,반도체 제조업,"10,798,536","5,399,268,000",500,원(KRW),02-595-5197,"서울특별시 서초구 서초대로 67 성령빌딩 (방배동 869-9,11) 2층",2318,,
359,39560,다산네트웍스,32604,통신 및 방송 장비 제조업,"31,523,174","16,990,049,500",500,원(KRW),070-7010-1000,경기도 성남시 분당구 대왕판교로644번길 49 다산타워,2318,,
360,58730,다스코,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업","15,400,000","8,000,000,000",500,원(KRW),061-370-2114,전라남도 화순군  동면 동농공길 26-2,2318,,
361,23590,다우기술,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","44,866,617","22,433,308,500",500,원(KRW),070-8707-1000,경기도 용인시 수지구  디지털벨리로 81 디지털스퀘어 6층,2318,,
362,32190,다우데이타,74605,기계장비 및 관련 물품 도매업,"38,300,000","19,150,000,000",500,원(KRW),02-3410-5100,"서울특별시 마포구 독막로 311 염리동, 재화스퀘어 5층, 11층",2318,,
363,323350,다원넥스뷰,32703,사진장비 및 광학기기 제조업,"730,000","365,000,000",500,원(KRW),031-8085-7850,경기도 안산시 단원구 시화호수로 485,2318,,
364,68240,다원시스,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","26,799,958","13,399,979,000",500,원(KRW),031-8085-3010,경기도 안산시 단원구 시화호수로 485(성곡동) (주) 다원시스,2318,,
365,86080,다이노나,137001,자연과학 및 공학 연구개발업,"15,376,481","7,688,240,500",500,원(KRW),02-578-0810,"서울특별시 송파구 올림픽로43길 88 아산생명과학 11층(풍납동, 서울아산병원)",2318,,
366,271850,다이오진,137001,자연과학 및 공학 연구개발업,"3,000,000","300,000,000",100,원(KRW),031-701-6488,"경기도 성남시 분당구 판교로 255번길 9-22, 302호(삼평동, 우림더블유시티)",2318,,
367,19680,대교,168501,초등 교육기관,"84,702,850","52,064,920,000",500,원(KRW),02-829-1114,서울특별시 관악구 보라매로 3길 23 (보라매동 729-21) 대교타워,2318,,
368,6370,대구백화점,74701,종합 소매업,"10,821,611","54,108,055,000","5,000",원(KRW),053-423-1234,대구광역시 중구 동성로 30 9층 재무팀,2318,,
369,8060,대덕전자,32602,전자부품 제조업,"78,006,972","40,657,424,000",500,원(KRW),031-8040-8073,경기도 안산시 단원구 강촌로 230 (목내동),2318,,
370,178600,대동고려삼,31007,기타 식품 제조업,"4,449,600","2,224,800,000",500,원(KRW),041-753-8803,충청남도 금산군  군북면 군북로 586,2318,,
371,490,대동공업,32902,특수 목적용 기계 제조업,"23,728,210","23,728,210,000","1,000",원(KRW),053-610-3000,대구광역시 달성군 논공읍 논공중앙로34길 35 35,2318,,
372,20400,대동금속,32403,금속 주조업,"2,553,860","2,553,860,000","1,000",원(KRW),053 -610 -5030,대구광역시 달성군  논공읍 논공로 602,2318,,
373,8830,대동기어,32902,특수 목적용 기계 제조업,"8,987,520","4,493,760,000",500,원(KRW),055 -851 -2311,경상남도 사천시  사남면 공단1로 42 (주)대동기어,2318,,
374,48470,대동스틸,32401,1차 철강 제조업,"10,000,000","5,000,000,000",500,원(KRW),(02)780-4448,인천광역시 남동구 앵고개로622번길 29 남동공단 165B-1L 고잔동,2318,,
375,8110,대동전자,32604,통신 및 방송 장비 제조업,"10,490,447","5,245,223,500",500,원(KRW),02-855-5121,서울특별시 금천구  가산디지털1로 33,2318,,
376,4780,대륙제관,32509,기타 금속 가공제품 제조업,"15,903,199","7,951,599,500",500,원(KRW),02-6003-0600,서울특별시 강남구 역삼로 221,2318,,
377,5750,대림비앤코,32302,"내화, 비내화 요업제품 제조업","16,672,240","16,672,240,000","1,000",원(KRW),055-280-8400,경상남도 창원시 성산구  공단로 52,2318,,
378,210,대림산업,64102,토목 건설업,"34,800,000","218,500,000,000","5,000",원(KRW),02-2011-7114,서울특별시 종로구  종로1길 36 대림빌딩,2318,,
379,4440,대림씨엔에스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000","1,000",원(KRW),02-311-3300,서울특별시 중구 을지로5길 16 삼화타워 5층,2318,,
380,17650,대림제지,31709,기타 종이 및 판지 제품 제조업,"45,000,000","4,500,000,000",100,원(KRW),031 -373 -7670,경기 오산시 누읍동 7,2318,,
381,6570,대림통상,32509,기타 금속 가공제품 제조업,"15,225,000","16,425,000,000","1,000",원(KRW),02-730-9811,서울특별시 서대문구  연희로 142,2318,,
382,7720,대명코퍼레이션,74608,상품 종합 도매업,"100,800,450","50,400,225,000",500,원(KRW),02-2222-7500,강원도 홍천군 서면 한치골길 262,2318,,
383,317850,대모,32902,특수 목적용 기계 제조업,"8,324,420","4,162,210,000",500,원(KRW),314886000,경기도 시흥시 군자천로 15,2318,,
384,290670,대보마그네틱,32809,기타 전기장비 제조업,"3,232,600","1,616,300,000",500,원(KRW),031-354-3960,경기도 화성시 팔탄면 현대기아로 25-13,2318,,
385,78140,대봉엘에스,32102,의약품 제조업,"11,086,579","5,543,289,500",500,원(KRW),032-817-8800,인천광역시 남동구  능허대로649번길 123,2318,,
386,1680,대상,31007,기타 식품 제조업,"34,648,025","36,018,248,000","1,000",원(KRW),02-2220-9500,서울특별시 동대문구  천호대로 26,2318,,
387,84690,대상홀딩스,116409,기타 금융업,"36,212,538","37,126,020,000","1,000",원(KRW),02-2211-6500,서울특별시 중구 세종대로9길 41 올리브타워 2층,2318,,
388,36480,대성미생물,32102,의약품 제조업,"3,800,000","1,900,000,000",500,원(KRW),02-553-1104,경기도 의왕시  덕영대로 103,2318,,
389,128820,대성산업,74707,연료 소매업,"45,235,478","226,177,390,000","5,000",원(KRW),02-2170-2160,"서울특별시 구로구 경인로 662(신도림동, 디큐브시티)",2318,,
390,117580,대성에너지,43502,연료용 가스 제조 및 배관공급업,"27,500,000","27,500,000,000","1,000",원(KRW),053-606-1000,대구광역시 중구 명덕로 85 (남산동),2318,,
391,25440,대성엘텍,32605,영상 및 음향기기 제조업,"99,661,343","49,830,671,500",500,원(KRW),02-867-0061,서울 금천구 가산동 60-19 번지,2318,,
392,27830,대성창투,116402,신탁업 및 집합투자업,"40,000,000","20,000,000,000",500,원(KRW),02-559-2900,서울특별시 강남구 역삼로 165 해성빌딩4층,2318,,
393,104040,대성파인텍,33003,자동차 신품 부품 제조업,"31,301,281","3,130,128,100",100,원(KRW),055-289-4883,경상남도 창원시 성산구 남면로 627 (외동),2318,,
394,16710,대성홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업,"16,089,459","16,089,459,000","1,000",원(KRW),053-606-1000,대구광역시 중구 명덕로 85 대성홀딩스,2318,,
395,307750,대신밸런스제6호스팩,116601,금융 지원 서비스업,"5,010,000","501,000,000",100,원(KRW),02-769-3635,서울특별시 중구 삼일대로 343 &nbsp,2318,,
396,332290,대신밸런스제7호스팩,116601,금융 지원 서비스업,"5,205,000","520,500,000",100,원(KRW),02-769-3635,서울특별시 중구 삼일대로 343 &nbsp;,2318,,
397,20180,대신정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","38,428,915","19,214,457,500",500,원(KRW),02  -2107-5009,"광주광역시 서구 상무중앙로 110(치평동, 우체국보험광주회관)",2318,,
398,3540,대신증권,116601,금융 지원 서비스업,"50,773,400","434,867,000,000","5,000",원(KRW),02-769-2000,서울특별시 중구 삼일대로 343 저동1가 대신파이낸스센터,2318,,
399,45390,대아티아이,32809,기타 전기장비 제조업,"71,151,522","7,115,152,200",100,원(KRW),032-680-0800,경기도 부천시 오정구 수도로 139,2318,,
400,9190,대양금속,32401,1차 철강 제조업,"12,317,933","6,158,966,500",500,원(KRW),041-333-4675,충청남도 예산군  신암면 추사로 146-8,2318,,
401,108380,대양전기공업,33101,선박 및 보트 건조업,"9,567,333","4,783,666,500",500,원(KRW),051-200-5331,부산광역시 사하구 장평로 245,2318,,
402,6580,대양제지,31701,"펄프, 종이 및 판지 제조업","26,850,000","13,425,000,000",500,원(KRW),031-490-9302,경기도 안산시 단원구  신원로 50,2318,,
403,14160,대영포장,31702,"골판지, 종이 상자 및 종이용기 제조업","108,394,549","54,197,274,500",500,원(KRW),031-490-9300,"경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))",2318,,
404,47040,대우건설,64101,건물 건설업,"415,622,638","2,078,113,190,000","5,000",원(KRW),02-2288-3114,서울특별시 중구 을지로 170 (을지로4가),2318,,
405,9320,대우부품,33003,자동차 신품 부품 제조업,"47,646,375","23,823,187,500",500,원(KRW),063-530-8171,전라북도 정읍시  공단2길 3,2318,,
406,42660,대우조선해양,33101,선박 및 보트 건조업,"107,205,752","541,028,760,000","5,000",원(KRW),055-735-2114,경상남도 거제시 거제대로 3370 (아주동),2318,,
407,3090,대웅,116409,기타 금융업,"58,141,980","29,070,990,000",500,원(KRW),02-550-8800,경기 성남시 중원구 상대원동 223-23,2318,,
408,69620,대웅제약,32102,의약품 제조업,"11,586,575","28,966,437,500","2,500",원(KRW),02-550-8800,경기도 화성시 향남읍 제약공단4길 35-14 -,2318,,
409,7680,대원,64101,건물 건설업,"11,050,000","5,525,000,000",500,원(KRW),043-264-1115,충청북도 청주시 흥덕구 직지대로435번길 15(송정동) &nbsp,2318,,
410,430,대원강업,33003,자동차 신품 부품 제조업,"62,000,000","31,000,000,000",500,원(KRW),02-3455-7300,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,2318,,
411,311840,대원모방,31302,직물직조 및 직물제품 제조업,"1,593,280","796,640,000",500,원(KRW),043-275-9181,충청북도 청주시 흥덕구 공단로126번길 37,2318,,
412,48910,대원미디어,74607,기타 전문 도매업,"12,578,946","6,319,473,000",500,원(KRW),02-6373-3000,"서울특별시 용산구 한강대로23길 55 6층 1-1호(한강로3가,현대아이파크몰 테마파크)",2318,,
413,5710,대원산업,33003,자동차 신품 부품 제조업,"20,037,600","10,018,800,000",500,원(KRW),031 -495 -2301,경기도 안산시 단원구 원시로 179,2318,,
414,6340,대원전선,32803,절연선 및 케이블 제조업,"68,107,171","35,364,185,500",500,원(KRW),041-339-3400,충청남도 예산군  고덕면 호음덕령길 92,2318,,
415,3220,대원제약,32102,의약품 제조업,"19,662,677","9,831,338,500",500,원(KRW),02-2204-7000,서울특별시 성동구 천호대로 386 대원제약,2318,,
416,24890,대원화성,32202,플라스틱제품 제조업,"41,249,152","20,624,576,000",500,원(KRW),031-372-3992,서울특별시 강남구 봉은사로 327 궁도빌딩 13층,2318,,
417,290380,대유,32003,"비료, 농약 및 살균, 살충제 제조업","9,052,400","4,526,200,000",500,원(KRW),02-556-6293,"서울특별시 강남구 학동로77길 26 (청담동, 대유빌딩)",2318,,
418,2880,대유에이텍,33003,자동차 신품 부품 제조업,"106,915,987","53,457,993,500",500,원(KRW),062-940-8672,광주광역시 광산구  소촌로123번길 40-12,2318,,
419,290120,대유에이피,33003,자동차 신품 부품 제조업,"10,884,000","5,442,000,000",500,원(KRW),063-210-3900,전라북도 완주군 봉동읍 완주산단8로 66,2318,,
420,300,대유플러스,32604,통신 및 방송 장비 제조업,"105,310,960","52,655,480,000",500,원(KRW),031-737-7000,광주광역시 광산구 소촌로123번길 40-16 2층(소촌동),2318,,
421,120240,대정화금,32001,기초 화학물질 제조업,"7,100,391","3,550,195,500",500,원(KRW),031-488-8822,"경기도 시흥시 서해안로 186 대정화금(주) 정돵동, 시화공단 1다 107",2318,,
422,3310,대주산업,31008,동물용 사료 및 조제식품 제조업,"35,392,350","18,696,175,000",500,원(KRW),02  -2201-8107,서울특별시 광진구 구의강변로 44 (구의동),2318,,
423,114920,대주이엔티,32401,1차 철강 제조업,"3,469,500","1,734,750,000",500,원(KRW),070-7015-1337,인천광역시 중구 신포로 4 (사동) 4층,2318,,
424,78600,대주전자재료,32602,전자부품 제조업,"14,551,225","7,275,612,500",500,원(KRW),(031)498-2901,경기 시흥시 정왕동 1236-10,2318,,
425,12800,대창,32402,1차 비철금속 제조업,"91,140,499","45,570,249,500",500,원(KRW),031-496-3000,경기도 시흥시 공단1대로 391,2318,,
426,15230,대창단조,33003,자동차 신품 부품 제조업,"2,857,223","14,286,115,000","5,000",원(KRW),055-329-3911,경남 김해시 생림면 봉림리 1072-1,2318,,
427,96350,대창솔루션,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업","158,281,961","15,828,196,100",100,원(KRW),052-711-7700,부산광역시 강서구 화전산단1로 155 화전동,2318,,
428,140520,대창스틸,32401,1차 철강 제조업,"20,000,000","10,000,000,000",500,원(KRW),032-816-7700,인천광역시 남동구 아암대로 1213 &nbsp,2318,,
429,131220,대한과학,74605,기계장비 및 관련 물품 도매업,"7,454,490","3,727,245,000",500,원(KRW),033-737-7500,강원도 원주시  지정면 신평석화로 326 대한과학,2318,,
430,10170,대한광통신,32803,절연선 및 케이블 제조업,"73,741,625","36,870,812,500",500,원(KRW),031  -494 -1011,경기도 안산시 단원구 장자골로 49,2318,,
431,54670,대한뉴팜,32102,의약품 제조업,"14,354,920","7,177,460,000",500,원(KRW),02-3415-7804,경기도 화성시 향남읍 상신리 904-3,2318,,
432,1070,대한방직,31302,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000","1,000",원(KRW),02-368-0114,"서울특별시 영등포구  국제금융로2길 17 (여의도동,대한빌딩)",2318,,
433,23910,대한약품,32102,의약품 제조업,"6,000,000","3,000,000,000",500,원(KRW),02-2678-8443,서울특별시 영등포구 선유로45길 3,2318,,
434,6650,대한유화,32001,기초 화학물질 제조업,"6,500,000","41,000,000,000","5,000",원(KRW),02-2122-1515,서울특별시 종로구  자하문로 77 유남빌딩,2318,,
435,1440,대한전선,32803,절연선 및 케이블 제조업,"856,473,009","428,236,504,500",500,원(KRW),02-316-9114,경기도 안양시 동안구 관양동 1746-2 대한스마트타워,2318,,
436,84010,대한제강,32401,1차 철강 제조업,"24,646,734","24,646,734,000","1,000",원(KRW),02-1670-3300,부산광역시 사하구 하신번영로 69,2318,,
437,1790,대한제당,31006,"곡물가공품, 전분 및 전분제품 제조업","8,840,002","24,044,835,000","2,500",원(KRW),032-770-1400,인천광역시 중구  월미로 116(북성동1가),2318,,
438,1130,대한제분,31006,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000","5,000",원(KRW),02-3455-0200,서울특별시 중구 세종대로 39,2318,,
439,3490,대한항공,85101,항공 여객 운송업,"94,844,634","479,777,140,000","5,000",원(KRW),02-2656-7114,서울특별시 강서구 하늘길 260,2318,,
440,5880,대한해운,85001,해상 운송업,"24,426,504","122,132,520,000","5,000",원(KRW),02-3701-0114,서울특별시 강서구 마곡중앙8로 78 에스엠알엔디센터,2318,,
441,3830,대한화섬,32005,화학섬유 제조업,"1,328,000","6,640,000,000","5,000",원(KRW),02-3406-0300,서울특별시 중구  동호로 310,2318,,
442,16090,대현,31401,봉제의복 제조업,"44,282,310","26,906,155,000",500,원(KRW),02-3485-7000,"서울특별시 강남구 언주로 619 (논현동, 대현그린타워)",2318,,
443,69460,대호에이엘,32402,1차 비철금속 제조업,"27,134,839","13,567,419,500",500,원(KRW),053-610-5400,대구광역시 달성군  논공읍 논공중앙로 211,2318,,
444,21040,대호피앤씨,32401,1차 철강 제조업,"73,112,826","38,677,646,000",500,원(KRW),055 -388 -4001,경상남도 양산시  산막공단북4길 13 (주)대호피앤씨,2318,,
445,67080,대화제약,32102,의약품 제조업,"18,224,974","9,112,487,000",500,원(KRW),02-586-6451,강원도 횡성군  횡성읍 한우로 495,2318,,
446,192080,더블유게임즈,105802,소프트웨어 개발 및 공급업,"18,260,502","9,130,251,000",500,원(KRW),02-501-7219,서울특별시 강남구 테헤란로 152 강남파이낸스센터 16층,2318,,
447,35290,더블유에프엠,105801,"서적, 잡지 및 기타 인쇄물 출판업","25,701,374","12,850,687,000",500,원(KRW),02-565-4874,"서울특별시 금천구  가산디지털1로 131 B동 15층(가산동, BYC하이시티)",2318,,
448,12510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000",500,원(KRW),02-6233-3000,강원도 춘천시 남산면 버들1길 130,2318,,
449,302920,더콘텐츠온,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","2,957,122","1,478,561,000",500,원(KRW),02-2183-1930,"서울특별시 강남구 테헤란로 322 동관 601호, 602호, 603호, 604호, 605호(역삼동, 한신인터밸리24)",2318,,
450,213420,덕산네오룩스,32602,전자부품 제조업,"24,010,012","4,802,002,400",200,원(KRW),041-590-5400,충청남도 천안시 서북구 입장면 쑥골길 21-32,2318,,
451,317330,덕산테코피아,32004,기타 화학제품 제조업,"18,377,428","9,188,714,000",500,원(KRW),041-903-9700,충청남도 천안시 동남구 풍세면 풍세산단2로 39 &nbsp,2318,,
452,77360,덕산하이메탈,32601,반도체 제조업,"22,718,501","4,543,700,200",200,원(KRW),052-289-0443,울산광역시 북구  무룡1로 66,2318,,
453,4830,덕성,32202,플라스틱제품 제조업,"15,680,000","8,536,000,000",500,원(KRW),031-204-0781,경기도 수원시 영통구  신원로 25,2318,,
454,90410,덕신하우징,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업","40,060,000","4,006,000,000",100,원(KRW),02-2600-2600,충청남도 천안시 동남구 수신면 수신로 485-34,2318,,
455,24900,덕양산업,33003,자동차 신품 부품 제조업,"32,564,980","16,282,490,000",500,원(KRW),052-219-1114,울산광역시 북구  효암로 366,2318,,
456,263600,덕우전자,32602,전자부품 제조업,"15,930,310","8,037,610,500",500,원(KRW),054-474-9661,경상북도 구미시 산동면 첨단기업7로 98-23 &nbsp,2318,,
457,194480,데브시스터즈,105802,소프트웨어 개발 및 공급업,"11,204,370","5,602,185,000",500,원(KRW),02-2148-0652,서울특별시 강남구 도산대로 327 데브시스터즈(주),2318,,
458,263800,데이타솔루션,74605,기계장비 및 관련 물품 도매업,"15,768,580","7,884,290,000",500,원(KRW),02-3467-7200,"서울특별시 강남구 언주로 620, 10층",2318,,
459,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업,"4,097,598","2,048,799,000",500,원(KRW),02-3473-9077,"서울특별시 서초구 사임당로 28 6층 (서초동, 청호나이스)",2318,,
460,139050,데일리블록체인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","49,391,439","24,695,719,500",500,원(KRW),031-470-4803,경기도 안양시 만안구 예술공원로 153-323층(석수동 825-1 3층),2318,,
461,17680,데코앤이,31401,봉제의복 제조업,"14,585,615","7,292,807,500",500,원(KRW),02-2145-1300,서울특별시 송파구 위례성대로22길 27 -,2318,,
462,206560,덱스터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","24,657,529","12,328,764,500",500,원(KRW),02-6391-7000,"서울특별시 마포구 매봉산로 75 1801호, 1901호(상암동,디디엠씨)",2318,,
463,145720,덴티움,32701,의료용 기기 제조업,"11,068,830","6,184,415,000",500,원(KRW),070-7098-9158,"서울특별시 강남구 테헤란로87길 21 3층(삼성동, 동성빌딩)",2318,,
464,67990,도이치모터스,74501,자동차 판매업,"28,037,345","14,018,672,500",500,원(KRW),02-2243-6165,서울특별시 성동구 동일로 111 (성수동 2가),2318,,
